LR: 0.001, WD: 3e-05, RE: 0.0072, SAD: 0.3210, RMSE: 0.2510
LR: 0.002, WD: 3e-05, RE: 0.0073, SAD: 0.4010, RMSE: 0.2496
LR: 0.003, WD: 3e-05, RE: 0.0064, SAD: 0.3762, RMSE: 0.2573
LR: 0.004, WD: 3e-05, RE: 0.0078, SAD: 0.2927, RMSE: 0.1841
LR: 0.005, WD: 3e-05, RE: 0.0101, SAD: 0.1559, RMSE: 0.1160
LR: 0.006, WD: 3e-05, RE: 0.0105, SAD: 0.1525, RMSE: 0.1281
LR: 0.007, WD: 3e-05, RE: 0.0158, SAD: 0.1427, RMSE: 0.1141
LR: 0.008, WD: 3e-05, RE: 0.0133, SAD: 0.2492, RMSE: 0.3937
LR: 0.009, WD: 3e-05, RE: 0.0180, SAD: 0.1755, RMSE: 0.1528
LR: 0.006, WD: 1e-05, RE: 0.0272, SAD: 0.1392, RMSE: 0.2284
LR: 0.006, WD: 2e-05, RE: 0.0144, SAD: 0.3488, RMSE: 0.3424
LR: 0.006, WD: 3e-05, RE: 0.0117, SAD: 0.2311, RMSE: 0.1643
LR: 0.006, WD: 4e-05, RE: 0.0078, SAD: 0.3492, RMSE: 0.1867
LR: 0.006, WD: 5e-05, RE: 0.0097, SAD: 0.3430, RMSE: 0.2308
LR: 0.006, WD: 6e-05, RE: 0.0062, SAD: 0.4160, RMSE: 0.1822
LR: 0.006, WD: 7e-05, RE: 0.0075, SAD: 0.4490, RMSE: 0.2631
LR: 0.006, WD: 8e-05, RE: 0.0071, SAD: 0.4085, RMSE: 0.2423
LR: 0.006, WD: 9e-05, RE: 0.0075, SAD: 0.4090, RMSE: 0.1914
